task loss: 0.3551274836063385, task weight: 1.0
feature loss: 29.53429412841797, feature weight: 0.01
output loss: 0.2558543086051941, output weight: 1.0
task loss: 0.34403133392333984, task weight: 1.0
feature loss: 29.5270938873291, feature weight: 0.01
output loss: 0.25534719228744507, output weight: 1.0
task loss: 0.38019925355911255, task weight: 1.0
feature loss: 29.526891708374023, feature weight: 0.01
output loss: 0.2406797707080841, output weight: 1.0
task loss: 0.2224215269088745, task weight: 1.0
feature loss: 29.510055541992188, feature weight: 0.01
output loss: 0.2685152292251587, output weight: 1.0
task loss: 0.26291918754577637, task weight: 1.0
feature loss: 29.516712188720703, feature weight: 0.01
output loss: 0.2358618527650833, output weight: 1.0
task loss: 0.349366694688797, task weight: 1.0
feature loss: 29.507495880126953, feature weight: 0.01
output loss: 0.23903992772102356, output weight: 1.0
task loss: 0.40762820839881897, task weight: 1.0
feature loss: 29.511913299560547, feature weight: 0.01
output loss: 0.25768914818763733, output weight: 1.0
task loss: 0.39342594146728516, task weight: 1.0
feature loss: 29.510499954223633, feature weight: 0.01
output loss: 0.3368873596191406, output weight: 1.0
task loss: 0.2937009930610657, task weight: 1.0
feature loss: 29.500843048095703, feature weight: 0.01
output loss: 0.2287185788154602, output weight: 1.0
task loss: 0.22947467863559723, task weight: 1.0
feature loss: 29.485456466674805, feature weight: 0.01
output loss: 0.3083565831184387, output weight: 1.0
task loss: 0.23872467875480652, task weight: 1.0
feature loss: 29.484182357788086, feature weight: 0.01
output loss: 0.3317919373512268, output weight: 1.0
task loss: 0.6129927039146423, task weight: 1.0
feature loss: 29.472400665283203, feature weight: 0.01
output loss: 0.26513099670410156, output weight: 1.0
task loss: 0.3751646876335144, task weight: 1.0
feature loss: 29.480884552001953, feature weight: 0.01
output loss: 0.3290814161300659, output weight: 1.0
task loss: 0.5114312171936035, task weight: 1.0
feature loss: 29.47768211364746, feature weight: 0.01
output loss: 0.3421005606651306, output weight: 1.0
task loss: 0.44951510429382324, task weight: 1.0
feature loss: 29.46792221069336, feature weight: 0.01
output loss: 0.29345494508743286, output weight: 1.0
task loss: 0.2536557614803314, task weight: 1.0
feature loss: 29.45081329345703, feature weight: 0.01
output loss: 0.26278039813041687, output weight: 1.0
task loss: 0.4369523525238037, task weight: 1.0
feature loss: 29.451135635375977, feature weight: 0.01
output loss: 0.335313081741333, output weight: 1.0
task loss: 0.48727965354919434, task weight: 1.0
feature loss: 29.442447662353516, feature weight: 0.01
output loss: 0.2745323181152344, output weight: 1.0
task loss: 0.24348926544189453, task weight: 1.0
feature loss: 29.435319900512695, feature weight: 0.01
output loss: 0.2772868573665619, output weight: 1.0
task loss: 0.2827509045600891, task weight: 1.0
feature loss: 29.431865692138672, feature weight: 0.01
output loss: 0.3371383249759674, output weight: 1.0
task loss: 0.29077720642089844, task weight: 1.0
feature loss: 29.439367294311523, feature weight: 0.01
output loss: 0.2203064113855362, output weight: 1.0
task loss: 0.2663213312625885, task weight: 1.0
feature loss: 29.420289993286133, feature weight: 0.01
output loss: 0.23406124114990234, output weight: 1.0
task loss: 0.49936866760253906, task weight: 1.0
feature loss: 29.410985946655273, feature weight: 0.01
output loss: 0.26950985193252563, output weight: 1.0
task loss: 0.2721492052078247, task weight: 1.0
feature loss: 29.4123592376709, feature weight: 0.01
output loss: 0.2576909065246582, output weight: 1.0
task loss: 0.31268054246902466, task weight: 1.0
feature loss: 29.415592193603516, feature weight: 0.01
output loss: 0.2277960181236267, output weight: 1.0
task loss: 0.2682397663593292, task weight: 1.0
feature loss: 29.405914306640625, feature weight: 0.01
output loss: 0.21419043838977814, output weight: 1.0
task loss: 0.37710946798324585, task weight: 1.0
feature loss: 29.408857345581055, feature weight: 0.01
output loss: 0.2643132209777832, output weight: 1.0
task loss: 0.3468049168586731, task weight: 1.0
feature loss: 29.3983154296875, feature weight: 0.01
output loss: 0.21811524033546448, output weight: 1.0
task loss: 0.29299110174179077, task weight: 1.0
feature loss: 29.3900089263916, feature weight: 0.01
output loss: 0.2071281224489212, output weight: 1.0
task loss: 0.42597946524620056, task weight: 1.0
feature loss: 29.384944915771484, feature weight: 0.01
output loss: 0.21525990962982178, output weight: 1.0
task loss: 0.21239271759986877, task weight: 1.0
feature loss: 29.386802673339844, feature weight: 0.01
output loss: 0.23956003785133362, output weight: 1.0
task loss: 0.3292684853076935, task weight: 1.0
feature loss: 29.37713623046875, feature weight: 0.01
output loss: 0.2434435337781906, output weight: 1.0
task loss: 0.2778069078922272, task weight: 1.0
